1	1	2	11	10
2	2	3	12	11
3	3	4	13	12
4	4	5	14	13
5	5	6	15	14
6	6	7	16	15
7	7	8	17	16
8	8	9	18	17
9	10	11	20	19
10	11	12	21	20
11	12	13	22	21
12	13	14	23	22
13	14	15	24	23
14	15	16	25	24
15	16	17	26	25
16	17	18	27	26
17	19	20	29	28
18	20	21	30	29
19	21	22	31	30
20	22	23	32	31
21	23	24	33	32
22	24	25	34	33
23	25	26	35	34
24	26	27	36	35
25	28	29	38	37
26	29	30	39	38
27	30	31	40	39
28	37	38	42	41
29	38	39	43	42
30	39	40	44	43
31	41	42	46	45
32	42	43	47	46
33	43	44	48	47
34	45	46	50	49
35	46	47	51	50
36	47	48	52	51
37	49	50	59	58
38	50	51	60	59
39	51	52	61	60
40	52	53	62	61
41	53	54	63	62
42	54	55	64	63
43	55	56	65	64
44	56	57	66	65
45	58	59	68	67
46	59	60	69	68
47	60	61	70	69
48	61	62	71	70
49	62	63	72	71
50	63	64	73	72
51	64	65	74	73
52	65	66	75	74
53	67	68	77	76
54	68	69	78	77
55	69	70	79	78
56	70	71	80	79
57	71	72	81	80
58	72	73	82	81
59	73	74	83	82
60	74	75	84	83
